Nr.;Kreis/Region;Aggregat;HE;vSM
1004;Neumünster, Stadt;kreisfreie Stadt;1546,79;4,85
1051;Dithmarschen;Landkreis;1855,27;4,14
1053;Herzogtum Lauenburg;Landkreis;2155,69;3,64
1054;Nordfriesland;Landkreis;2077,59;4,18
1055;Ostholstein;Landkreis;1877,93;4,47
1056;Pinneberg;Landkreis;1978,19;3
1057;Plön;Landkreis;1854,38;3,5
1058;Rendsburg-Eckernförde;Landkreis;1891,76;3,49
1059;Schleswig-Flensburg;Landkreis;1827,94;4,21
1060;Segeberg;Landkreis;1869,79;3,5
1061;Steinburg;Landkreis;1760,88;4,41
1062;Stormarn;Landkreis;2051,92;3,33
2000;Hamburg, Stadt;kreisfreie Stadt;2045,76;3,23
3101;Braunschweig, Stadt;kreisfreie Stadt;1821,83;3,38
3102;Salzgitter, Stadt;kreisfreie Stadt;1594,09;4,64
3103;Wolfsburg, Stadt;kreisfreie Stadt;1961,16;3,95
3151;Gifhorn;Landkreis;1899,00;3,61
3153;Goslar;Landkreis;1708,68;5,03
3154;Helmstedt;Landkreis;1866,81;4,86
3155;Northeim;Landkreis;1790,64;4,73
3157;Peine;Landkreis;1789,44;3,76
3158;Wolfenbüttel;Landkreis;1809,43;3,9
3159;Göttingen;Landkreis;1699,22;3,79
3241;Region Hannover;Landkreis;1759,47;3,48
3251;Diepholz;Landkreis;1920,93;3,55
3252;Hameln-Pyrmont;Landkreis;1791,42;4,35
3254;Hildesheim;Landkreis;1736,13;4,02
3255;Holzminden;Landkreis;1711,26;4,74
3256;Nienburg (Weser);Landkreis;1734,32;4,38
3257;Schaumburg;Landkreis;1781,62;4,4
3351;Celle;Landkreis;1693,78;3,98
3352;Cuxhaven;Landkreis;1830,80;4,75
3353;Harburg;Landkreis;2083,68;2,97
3354;Lüchow-Dannenberg;Landkreis;1702,76;6,02
3355;Lüneburg;Landkreis;1736,42;3,46
3356;Osterholz;Landkreis;1878,66;3,98
3357;Rotenburg (Wümme);Landkreis;1853,83;4,17
3358;Heidekreis;Landkreis;1733,70;3,75
3359;Stade;Landkreis;1877,79;3,29
3360;Uelzen;Landkreis;1724,03;4,7
3361;Verden;Landkreis;1917,84;3,64
3401;Delmenhorst, Stadt;kreisfreie Stadt;1564,97;4,06
3402;Emden, Stadt;kreisfreie Stadt;1521,77;4,93
