Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen;Vorzeitige Sterblichkeit Männer
;;;2017;2017
1001;Flensburg, Stadt;kreisfreie Stadt;1.509,80;3,87
1002;Kiel, Stadt;kreisfreie Stadt;1.544,33;3,53
1003;Lübeck, Stadt;kreisfreie Stadt;1.639,28;4,48
1004;Neumünster, Stadt;kreisfreie Stadt;1.546,79;4,85
1051;Dithmarschen;Landkreis;1.855,27;4,14
1053;Herzogtum Lauenburg;Landkreis;2.155,69;3,64
1054;Nordfriesland;Landkreis;2.077,59;4,18
1055;Ostholstein;Landkreis;1.877,93;4,47
1056;Pinneberg;Landkreis;1.978,19;3
1057;Plön;Landkreis;1.854,38;3,5
1058;Rendsburg-Eckernförde;Landkreis;1.891,76;3,49
1059;Schleswig-Flensburg;Landkreis;1.827,94;4,21
1060;Segeberg;Landkreis;1.869,79;3,5
1061;Steinburg;Landkreis;1.760,88;4,41
1062;Stormarn;Landkreis;2.051,92;3,33
2000;Hamburg, Stadt;kreisfreie Stadt;2.045,76;3,23
3101;Braunschweig, Stadt;kreisfreie Stadt;1.821,83;3,38
3102;Salzgitter, Stadt;kreisfreie Stadt;1.594,09;4,64
3103;Wolfsburg, Stadt;kreisfreie Stadt;1.961,16;3,95
3151;Gifhorn;Landkreis;1.899,00;3,61
3153;Goslar;Landkreis;1.708,68;5,03
3154;Helmstedt;Landkreis;1.866,81;4,86
3155;Northeim;Landkreis;1.790,64;4,73
3157;Peine;Landkreis;1.789,44;3,76
3158;Wolfenbüttel;Landkreis;1.809,43;3,9
3159;Göttingen;Landkreis;1.699,22;3,79
3241;Region Hannover;Landkreis;1.759,47;3,48
3251;Diepholz;Landkreis;1.920,93;3,55
3252;Hameln-Pyrmont;Landkreis;1.791,42;4,35
3254;Hildesheim;Landkreis;1.736,13;4,02
3255;Holzminden;Landkreis;1.711,26;4,74
3256;Nienburg (Weser);Landkreis;1.734,32;4,38
3257;Schaumburg;Landkreis;1.781,62;4,4
3351;Celle;Landkreis;1.693,78;3,98
3352;Cuxhaven;Landkreis;1.830,80;4,75
3353;Harburg;Landkreis;2.083,68;2,97
3354;Lüchow-Dannenberg;Landkreis;1.702,76;6,02
