Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen
;;;2017
"01001";"Flensburg, Stadt";"kreisfreie Stadt";"1.509,80"
"01002";"Kiel, Stadt";"kreisfreie Stadt";"1.544,33"
"01003";"Lübeck, Stadt";"kreisfreie Stadt";"1.639,28"
"01004";"Neumünster, Stadt";"kreisfreie Stadt";"1.546,79"
"01051";"Dithmarschen";"Landkreis";"1.855,27"
"01053";"Herzogtum Lauenburg";"Landkreis";"2.155,69"
"01054";"Nordfriesland";"Landkreis";"2.077,59"
"01055";"Ostholstein";"Landkreis";"1.877,93"
"01056";"Pinneberg";"Landkreis";"1.978,19"
"01057";"Plön";"Landkreis";"1.854,38"
"01058";"Rendsburg-Eckernförde";"Landkreis";"1.891,76"
"01059";"Schleswig-Flensburg";"Landkreis";"1.827,94"
"01060";"Segeberg";"Landkreis";"1.869,79"
"01061";"Steinburg";"Landkreis";"1.760,88"
"01062";"Stormarn";"Landkreis";"2.051,92"
"02000";"Hamburg, Stadt";"kreisfreie Stadt";"2.045,76"
"03101";"Braunschweig, Stadt";"kreisfreie Stadt";"1.821,83"
"03102";"Salzgitter, Stadt";"kreisfreie Stadt";"1.594,09"
"03103";"Wolfsburg, Stadt";"kreisfreie Stadt";"1.961,16"
"03151";"Gifhorn";"Landkreis";"1.899,00"
"03153";"Goslar";"Landkreis";"1.708,68"
"03154";"Helmstedt";"Landkreis";"1.866,81"
"03155";"Northeim";"Landkreis";"1.790,64"
"03157";"Peine";"Landkreis";"1.789,44"
"03158";"Wolfenbüttel";"Landkreis";"1.809,43"
"03159";"Göttingen";"Landkreis";"1.699,22"
"03241";"Region Hannover";"Landkreis";"1.759,47"
"03251";"Diepholz";"Landkreis";"1.920,93"
"03252";"Hameln-Pyrmont";"Landkreis";"1.791,42"
"03254";"Hildesheim";"Landkreis";"1.736,13"
"03255";"Holzminden";"Landkreis";"1.711,26"
"03256";"Nienburg (Weser)";"Landkreis";"1.734,32"
"03257";"Schaumburg";"Landkreis";"1.781,62"
"03351";"Celle";"Landkreis";"1.693,78"
"03352";"Cuxhaven";"Landkreis";"1.830,80"
"03353";"Harburg";"Landkreis";"2.083,68"
"03354";"Lüchow-Dannenberg";"Landkreis";"1.702,76"
"03355";"Lüneburg";"Landkreis";"1.736,42"
"03356";"Osterholz";"Landkreis";"1.878,66"
"03357";"Rotenburg (Wümme)";"Landkreis";"1.853,83"
"03358";"Heidekreis";"Landkreis";"1.733,70"
"03359";"Stade";"Landkreis";"1.877,79"
"03360";"Uelzen";"Landkreis";"1.724,03"
"03361";"Verden";"Landkreis";"1.917,84"
"03401";"Delmenhorst, Stadt";"kreisfreie Stadt";"1.564,97"
"03402";"Emden, Stadt";"kreisfreie Stadt";"1.521,77"
"03403";"Oldenburg (Oldenburg), Stadt";"kreisfreie Stadt";"1.636,72"
